entity_group,score,word,start,end,Source,Index,Text
PER,0.40178794,Morgenshtern,256,268,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
ORG,0.38057983,Morgenshtern,317,329,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.9997526,Russian,339,346,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.99975413,Russian,365,372,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.999694,Ukrainian,584,593,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
PER,0.960662,Vladislav Palagin,603,620,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.9995906,Ukrainian,754,763,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.99966943,Russian,770,777,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
LOC,0.99983585,Russia,36,42,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
MISC,0.9997744,Russian,114,121,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
LOC,0.99979264,Ukraine,134,141,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
MISC,0.9997241,Ukrainian,189,198,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
MISC,0.9995801,Ukrainian,240,249,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
PER,0.44755018,Zelenskyy,260,269,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
LOC,0.80623794,Darnytskyi District,305,324,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
LOC,0.63822293,Kyiv,328,332,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
LOC,0.65865356,Kyiv,416,420,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
LOC,0.61448216,Kyiv,460,464,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
LOC,0.7461386,Kharkiv,469,476,14 May 2026 Russian strikes on Ukraine,0,"During the night of 13–14 May 2026, Russia conducted what was described as it's ""largest aerial attack"" since the Russian invasion of Ukraine. 1,567 drones and 56 missiles targeted several Ukrainian cities, according to a statement made by Ukrainian President Zelenskyy, with a large number targeting the Darnytskyi District of Kyiv specifically. In total, 27 civilians were reported dead with 24 of whom being from Kyiv, with an additional 75 injured between Kyiv and Kharkiv."
ORG,0.9990303,State Emergency Service of Ukraine,4,38,14 May 2026 Russian strikes on Ukraine,1,"The State Emergency Service of Ukraine declared the following day, 15 May, a day of mourning. In response to the strikes, Ukraine in turn launched what was described by Tass as the largest drone attack on the Moscow region in more than a year on 17 May."
LOC,0.99984527,Ukraine,122,129,14 May 2026 Russian strikes on Ukraine,1,"The State Emergency Service of Ukraine declared the following day, 15 May, a day of mourning. In response to the strikes, Ukraine in turn launched what was described by Tass as the largest drone attack on the Moscow region in more than a year on 17 May."
ORG,0.55627966,Tass,169,173,14 May 2026 Russian strikes on Ukraine,1,"The State Emergency Service of Ukraine declared the following day, 15 May, a day of mourning. In response to the strikes, Ukraine in turn launched what was described by Tass as the largest drone attack on the Moscow region in more than a year on 17 May."
LOC,0.9996569,Moscow,209,215,14 May 2026 Russian strikes on Ukraine,1,"The State Emergency Service of Ukraine declared the following day, 15 May, a day of mourning. In response to the strikes, Ukraine in turn launched what was described by Tass as the largest drone attack on the Moscow region in more than a year on 17 May."
LOC,0.6475788,Kyiv,0,4,14 May 2026 Russian strikes on Ukraine,2,Kyiv strikes (2022–present)
MISC,0.99962854,Russo,18,23,14 May 2026 Russian strikes on Ukraine,3,War crimes in the Russo-Ukrainian war (2022–present)
MISC,0.9748219,Ukrainian,24,33,14 May 2026 Russian strikes on Ukraine,3,War crimes in the Russo-Ukrainian war (2022–present)
ORG,0.4294456,BRICS,9,14,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
MISC,0.443311,BRICS,47,52,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
LOC,0.99981767,Brazil,180,186,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
LOC,0.9998184,Russia,188,194,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
LOC,0.99981564,India,196,201,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
LOC,0.99980515,China,203,208,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
LOC,0.999474,South Africa,214,226,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
MISC,0.99836147,South African,228,241,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
PER,0.9724649,Cyril Ramaphosa,252,267,15th BRICS summit,0,"The 2023 BRICS summit was the fifteenth annual BRICS summit, an international relations conference attended by the heads of state or heads of government of the five member states: Brazil, Russia, India, China, and South Africa. South African President Cyril Ramaphosa also invited the leaders of 67 countries to the summit."
ORG,0.6650347,BRICS,57,62,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
MISC,0.9988322,South African,85,98,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
PER,0.99669266,Cyril Ramaphosa,109,124,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
LOC,0.9998313,Argentina,140,149,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
LOC,0.9998271,Egypt,151,156,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
LOC,0.9998258,Ethiopia,158,166,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
LOC,0.9998047,Iran,168,172,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
LOC,0.99963874,Saudi Arabia,174,186,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
LOC,0.9994347,United Arab Emirates,196,216,15th BRICS summit,1,"Several countries have expressed interest in joining the BRICS group. At the summit, South African President Cyril Ramaphosa announced that Argentina, Egypt, Ethiopia, Iran, Saudi Arabia, and the United Arab Emirates have been invited to join the bloc. Full membership took effect on 1 January 2024."
ORG,0.9990762,International Criminal Court,19,47,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
ORG,0.9992362,ICC,49,52,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
MISC,0.9997187,Russian,87,94,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
PER,0.99964106,Vladimir Putin,105,119,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
MISC,0.9997309,Russian,146,153,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
LOC,0.99980694,Ukraine,166,173,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
LOC,0.99950826,South Africa,175,187,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
ORG,0.9992613,ICC,206,209,15th BRICS summit,2,"In March 2023, the International Criminal Court (ICC) issued an arrest warrant against Russian President Vladimir Putin for war crimes during the Russian invasion of Ukraine. South Africa is required as an ICC signatory to honour the warrant."
MISC,0.99873215,South African,17,30,15th BRICS summit,3,"In May 2023, the South African government, led by the African National Congress (ANC), granted all invited leaders diplomatic immunity. It remained unclear at the time whether this would prevent Putin from being arrested if he attended. According to the Department of International Relations and Cooperation, it was standard practice in South Africa to confer such immunity to attendees of international conferences held in the country. "
ORG,0.9994717,African National Congress,54,79,15th BRICS summit,3,"In May 2023, the South African government, led by the African National Congress (ANC), granted all invited leaders diplomatic immunity. It remained unclear at the time whether this would prevent Putin from being arrested if he attended. According to the Department of International Relations and Cooperation, it was standard practice in South Africa to confer such immunity to attendees of international conferences held in the country. "
ORG,0.4998063,ANC,81,84,15th BRICS summit,3,"In May 2023, the South African government, led by the African National Congress (ANC), granted all invited leaders diplomatic immunity. It remained unclear at the time whether this would prevent Putin from being arrested if he attended. According to the Department of International Relations and Cooperation, it was standard practice in South Africa to confer such immunity to attendees of international conferences held in the country. "
PER,0.999423,Putin,195,200,15th BRICS summit,3,"In May 2023, the South African government, led by the African National Congress (ANC), granted all invited leaders diplomatic immunity. It remained unclear at the time whether this would prevent Putin from being arrested if he attended. According to the Department of International Relations and Cooperation, it was standard practice in South Africa to confer such immunity to attendees of international conferences held in the country. "
ORG,0.99920774,Department of International Relations and Cooperation,254,307,15th BRICS summit,3,"In May 2023, the South African government, led by the African National Congress (ANC), granted all invited leaders diplomatic immunity. It remained unclear at the time whether this would prevent Putin from being arrested if he attended. According to the Department of International Relations and Cooperation, it was standard practice in South Africa to confer such immunity to attendees of international conferences held in the country. "
LOC,0.9992529,South Africa,337,349,15th BRICS summit,3,"In May 2023, the South African government, led by the African National Congress (ANC), granted all invited leaders diplomatic immunity. It remained unclear at the time whether this would prevent Putin from being arrested if he attended. According to the Department of International Relations and Cooperation, it was standard practice in South Africa to confer such immunity to attendees of international conferences held in the country. "
LOC,0.9998394,China,41,46,15th BRICS summit,4,"By early June 2023, moving the summit to China was being considered to avoid the issue. In mid-July 2023, Vladimir Putin announced that he would not attend the summit ""by mutual agreement"" and would instead be sending Foreign Minister Sergei Lavrov."
PER,0.99971545,Vladimir Putin,106,120,15th BRICS summit,4,"By early June 2023, moving the summit to China was being considered to avoid the issue. In mid-July 2023, Vladimir Putin announced that he would not attend the summit ""by mutual agreement"" and would instead be sending Foreign Minister Sergei Lavrov."
PER,0.99858236,Sergei Lavrov,235,248,15th BRICS summit,4,"By early June 2023, moving the summit to China was being considered to avoid the issue. In mid-July 2023, Vladimir Putin announced that he would not attend the summit ""by mutual agreement"" and would instead be sending Foreign Minister Sergei Lavrov."
ORG,0.9991008,Daily Maverick,19,33,15th BRICS summit,5,"On 22 August 2023, Daily Maverick reported that India's Prime Minister Narendra Modi refused to get off his plane until the deputy president of South Africa was dispatched to welcome him instead of the government cabinet minister that was present to conduct the airport welcome. The South African government denied that Modi had refused to disembark his plane, saying that Ramaphosa was unable to meet Modi at the airport due to scheduling difficulties, and adding that it was common for government ministers to welcome visiting heads of state.  "
LOC,0.99977916,India,48,53,15th BRICS summit,5,"On 22 August 2023, Daily Maverick reported that India's Prime Minister Narendra Modi refused to get off his plane until the deputy president of South Africa was dispatched to welcome him instead of the government cabinet minister that was present to conduct the airport welcome. The South African government denied that Modi had refused to disembark his plane, saying that Ramaphosa was unable to meet Modi at the airport due to scheduling difficulties, and adding that it was common for government ministers to welcome visiting heads of state.  "
